class,filename,xmin,ymin,xmax,ymax,height,width
room,619_1.png,1875,517,1950,563,46,75
room,619_1.png,1638,466,1734,506,40,96
room,619_1.png,1426,1572,1603,1609,37,177
room,621_1.png,930,570,984,598,28,54
room,621_1.png,936,725,1006,749,24,70
room,621_1.png,947,413,1018,446,33,71
room,621_1.png,1824,593,1881,617,24,57
room,621_1.png,2014,536,2090,568,32,76
room,621_1.png,1292,984,1359,1015,31,67
room,621_1.png,1838,970,1982,1013,43,144
room,624_1.png,1123,651,1263,684,33,140
room,624_1.png,1148,743,1224,770,27,76
room,624_1.png,1147,819,1226,847,28,79
room,624_1.png,1299,949,1370,981,32,71
room,624_1.png,1656,953,1750,985,32,94
room,624_1.png,1976,955,2080,990,35,104
room,630_1.png,785,1659,932,1714,55,147
room,630_1.png,948,1662,1098,1711,49,150
room,630_1.png,1149,1658,1292,1708,50,143
room,630_1.png,1835,904,1981,953,49,146
room,630_1.png,2098,1656,2245,1705,49,147
room,630_1.png,2284,902,2426,948,46,142
room,630_1.png,2439,903,2580,949,46,141
room,630_1.png,2370,1283,2425,1312,29,55
room,631_1.png,2000,584,2124,644,60,124
room,631_1.png,1340,595,1473,650,55,133
room,631_1.png,895,486,1042,542,56,147
room,631_1.png,1472,1261,1677,1319,58,205
room,631_1.png,606,1387,732,1438,51,126
room,631_1.png,661,529,776,587,58,115
room,631_1.png,744,875,859,940,65,115
room,631_1.png,559,735,653,771,36,94
room,631_1.png,522,866,636,924,58,114
room,633_1.png,2258,697,2341,728,31,83
room,633_1.png,2288,855,2350,881,26,62
room,633_1.png,2268,951,2361,977,26,93
room,633_1.png,2141,910,2230,940,30,89
room,633_1.png,2115,1283,2210,1313,30,95
room,633_1.png,2690,1235,2752,1263,28,62
room,633_1.png,2475,1343,2568,1369,26,93
room,634_1.png,2420,757,2479,794,37,59
room,634_1.png,2618,751,2678,785,34,60
room,634_1.png,2591,1097,2668,1126,29,77
room,634_1.png,2577,1277,2672,1307,30,95
room,634_1.png,2106,834,2212,872,38,106
room,634_1.png,2087,985,2176,1014,29,89
room,634_1.png,2109,1178,2215,1206,28,106
room,634_1.png,2080,1301,2222,1330,29,142
room,634_1.png,2523,1495,2595,1532,37,72
room,634_1.png,1837,1517,1944,1554,37,107
room,634_1.png,1183,1459,1302,1528,69,119
room,634_1.png,737,667,847,695,28,110
room,634_1.png,2108,1518,2177,1557,39,69
room,634_1.png,1537,1514,1624,1549,35,87
room,634_1.png,538,1400,652,1433,33,114
room,643_1.png,212,319,305,359,40,93
room,643_1.png,827,348,913,384,36,86
room,643_1.png,390,349,451,383,34,61
room,643_1.png,390,633,451,672,39,61
room,643_1.png,193,634,289,680,46,96
room,643_1.png,670,633,734,674,41,64
room,643_1.png,863,636,999,668,32,136
room,643_1.png,972,394,1041,427,33,69
room,643_1.png,701,329,766,361,32,65
room,643_1.png,697,403,772,430,27,75
room,643_1.png,857,1104,977,1143,39,120
room,643_1.png,596,1103,693,1134,31,97
room,643_1.png,626,1206,668,1234,28,42
room,643_1.png,867,1256,965,1320,64,98
room,643_1.png,728,1194,783,1233,39,55
room,643_1.png,716,1251,770,1288,37,54
room,643_1.png,484,1574,562,1632,58,78
room,643_1.png,875,1524,961,1573,49,86
room,643_1.png,876,1645,967,1708,63,91
room,643_1.png,822,1880,905,1929,49,83
room,643_1.png,944,1888,1006,1923,35,62
room,643_1.png,660,1801,756,1858,57,96
room,643_1.png,596,1720,625,1750,30,29
room,643_1.png,656,1717,689,1751,34,33
room,643_1.png,511,1757,548,1794,37,37
room,643_1.png,516,1721,551,1746,25,35
room,643_1.png,516,1842,561,1877,35,45
room,643_1.png,803,1479,868,1501,22,65
room,643_1.png,2216,411,2302,448,37,86
room,643_1.png,2221,328,2299,364,36,78
room,643_1.png,2052,401,2119,436,35,67
room,643_1.png,2079,325,2151,353,28,72
room,643_1.png,1993,216,2052,248,32,59
room,643_1.png,2073,637,2122,667,30,49
room,643_1.png,2298,639,2349,672,33,51
room,643_1.png,2236,1234,2290,1263,29,54
room,643_1.png,2465,1210,2519,1239,29,54
room,643_1.png,2367,1414,2454,1444,30,87
room,643_1.png,2265,1507,2311,1528,21,46
room,643_1.png,2269,1584,2307,1606,22,38
room,643_1.png,2054,1587,2100,1625,38,46
room,643_1.png,1905,1586,1960,1627,41,55
room,643_1.png,1902,1654,1958,1687,33,56
room,643_1.png,2210,1554,2248,1593,39,38
room,643_1.png,2111,1552,2151,1594,42,40
room,643_1.png,2483,1634,2535,1666,32,52
room,643_1.png,2275,1731,2311,1754,23,36
room,643_1.png,2341,1209,2421,1240,31,80
room,643_1.png,2117,1268,2199,1314,46,82
room,643_1.png,1990,1805,2124,1842,37,134
room,643_1.png,2244,1817,2298,1847,30,54
room,643_1.png,2332,1763,2461,1793,30,129
room,643_1.png,2478,1739,2524,1769,30,46
room,643_1.png,2337,1592,2403,1620,28,66
room,643_1.png,2405,1856,2462,1881,25,57
room,644_1.png,408,226,463,255,29,55
room,644_1.png,567,231,621,259,28,54
room,644_1.png,653,337,719,368,31,66
room,644_1.png,623,412,691,442,30,68
room,644_1.png,797,341,866,373,32,69
room,644_1.png,787,423,873,455,32,86
room,644_1.png,400,651,486,675,24,86
room,644_1.png,644,651,691,677,26,47
room,644_1.png,872,649,914,677,28,42
room,644_1.png,737,1279,813,1345,66,76
room,644_1.png,953,1275,1031,1348,73,78
room,644_1.png,948,1503,1031,1547,44,83
room,644_1.png,737,1504,783,1542,38,46
room,644_1.png,706,1609,785,1639,30,79
room,644_1.png,696,1673,745,1707,34,49
room,644_1.png,527,1708,579,1759,51,52
room,644_1.png,737,1816,814,1882,66,77
room,644_1.png,954,1818,1031,1878,60,77
room,644_1.png,1843,222,1897,254,32,54
room,644_1.png,1996,225,2060,259,34,64
room,644_1.png,2223,348,2309,380,32,86
room,644_1.png,2036,699,2117,731,32,81
room,644_1.png,2292,642,2347,679,37,55
room,644_1.png,2036,513,2118,540,27,82
room,644_1.png,2053,417,2118,447,30,65
room,644_1.png,1993,317,2058,354,37,65
room,644_1.png,2137,672,2212,697,25,75
room,644_1.png,2185,1692,2237,1742,50,52
room,644_1.png,2248,1280,2292,1323,43,44
room,644_1.png,2124,1280,2166,1321,41,42
room,644_1.png,2234,1411,2295,1443,32,61
room,644_1.png,2340,1268,2411,1321,53,71
room,644_1.png,2337,1376,2375,1401,25,38
room,644_1.png,1899,1672,1983,1698,26,84
room,644_1.png,2324,1448,2428,1473,25,104
room,645_1.png,1146,343,1227,383,40,81
room,645_1.png,1421,349,1486,379,30,65
room,645_1.png,1642,347,1712,382,35,70
room,645_1.png,1408,570,1466,597,27,58
room,654_1.png,392,802,464,834,32,72
room,654_1.png,549,1305,624,1339,34,75
room,654_1.png,585,1556,665,1591,35,80
room,654_1.png,1163,1300,1252,1340,40,89
room,654_1.png,1211,1031,1284,1074,43,73
room,654_1.png,1206,773,1276,817,44,70
room,654_1.png,2113,1231,2186,1266,35,73
room,654_1.png,2755,1078,2827,1111,33,72
room,654_1.png,2742,674,2801,711,37,59
room,654_1.png,2668,559,2761,593,34,93
room,654_1.png,2038,821,2134,857,36,96
room,654_1.png,2229,818,2291,855,37,62
room,654_1.png,2232,929,2298,961,32,66
room,654_1.png,2055,982,2125,1018,36,70
room,654_1.png,2203,1031,2275,1070,39,72
room,654_1.png,2629,1255,2703,1296,41,74
room,655_1.png,1043,717,1125,758,41,82
room,655_1.png,1082,1253,1170,1287,34,88
room,655_1.png,473,960,544,997,37,71
room,655_1.png,505,1396,575,1432,36,70
room,655_1.png,2387,721,2471,755,34,84
room,655_1.png,2425,1250,2520,1291,41,95
room,655_1.png,1839,1393,1914,1430,37,75
room,655_1.png,1810,963,1882,998,35,72
room,656_1.png,963,927,1032,971,44,69
room,656_1.png,993,1364,1065,1395,31,72
room,656_1.png,2355,579,2424,632,53,69
room,656_1.png,2281,863,2341,901,38,60
room,656_1.png,2355,726,2426,768,42,71
room,657_1.png,954,861,1029,893,32,75
room,657_1.png,960,1234,1038,1272,38,78
room,657_1.png,1244,1182,1321,1214,32,77
room,657_1.png,1929,861,2006,895,34,77
room,657_1.png,1935,1236,2018,1270,34,83
room,658_1.png,511,796,587,837,41,76
room,658_1.png,545,1353,608,1393,40,63
room,658_1.png,507,1152,587,1184,32,80
room,658_1.png,515,1198,589,1228,30,74
room,658_1.png,1567,1309,1628,1348,39,61
room,658_1.png,1647,780,1705,814,34,58
room,658_1.png,1650,1150,1719,1185,35,69
room,658_1.png,1658,1196,1720,1226,30,62
room,664_1.png,2145,552,2280,591,39,135
room,664_1.png,2176,709,2283,752,43,107
room,664_1.png,1928,752,2038,791,39,110
room,664_1.png,2178,1251,2278,1286,35,100
room,664_1.png,2146,1410,2249,1458,48,103
room,664_1.png,1730,751,1836,791,40,106
room,664_1.png,1532,805,1630,849,44,98
room,664_1.png,1542,979,1617,1015,36,75
room,664_1.png,1537,1188,1614,1222,34,77
room,664_1.png,1732,1187,1813,1222,35,81
room,664_1.png,1888,1175,2005,1227,52,117
room,664_1.png,2013,1208,2083,1250,42,70
room,664_1.png,1812,1422,1873,1447,25,61
room,664_1.png,1473,1421,1537,1446,25,64
room,664_1.png,1309,1414,1423,1453,39,114
room,664_1.png,1300,1254,1386,1289,35,86
room,664_1.png,1299,637,1388,685,48,89
room,664_1.png,1328,540,1432,587,47,104
room,664_1.png,1483,544,1539,581,37,56
room,664_1.png,1769,546,1831,581,35,62
room,664_1.png,1900,538,1927,553,15,27
room,664_1.png,1996,537,2020,551,14,24
room,665_1.png,2016,1137,2088,1163,26,72
room,665_1.png,2125,896,2194,922,26,69
room,665_1.png,2224,933,2274,956,23,50
room,665_1.png,2408,1047,2492,1076,29,84
room,665_1.png,2473,1285,2622,1312,27,149
room,665_1.png,1647,1666,1872,1703,37,225
room,665_1.png,1315,1666,1481,1692,26,166
room,667_1.png,1534,1599,1627,1642,43,93
room,667_1.png,2330,1522,2453,1576,54,123
room,667_1.png,2439,1230,2537,1261,31,98
room,668_1.png,1524,1453,1635,1493,40,111
room,668_1.png,1078,1458,1187,1504,46,109
room,668_1.png,1832,868,1970,906,38,138
room,668_1.png,2054,866,2200,905,39,146
room,668_1.png,2364,920,2532,966,46,168
room,668_1.png,2559,1219,2661,1267,48,102
room,668_1.png,2352,1539,2506,1596,57,154
room,668_1.png,1919,1551,2167,1641,90,248
room,669_1.png,1837,723,1981,840,117,144
room,669_1.png,2182,778,2328,838,60,146
room,669_1.png,2365,891,2566,937,46,201
room,669_1.png,2491,1087,2626,1140,53,135
room,669_1.png,2489,1297,2643,1348,51,154
room,669_1.png,2323,1498,2540,1536,38,217
room,669_1.png,2179,1615,2309,1654,39,130
room,669_1.png,1905,1627,2082,1660,33,177
room,669_1.png,1643,1621,1832,1670,49,189
room,669_1.png,1459,1619,1593,1678,59,134
room,669_1.png,1083,1376,1187,1481,105,104
room,670_1.png,1579,571,1702,679,108,123
room,670_1.png,2022,504,2087,548,44,65
room,670_1.png,991,722,1064,765,43,73
room,670_1.png,1401,1701,1461,1732,31,60
room,670_1.png,1501,1677,1592,1715,38,91
room,670_1.png,997,1649,1049,1696,47,52
room,670_1.png,1486,1559,1574,1594,35,88
room,671_1.png,1786,649,1863,673,24,77
room,671_1.png,2176,630,2218,652,22,42
room,671_1.png,993,600,1036,629,29,43
room,671_1.png,896,1433,951,1471,38,55
room,671_1.png,986,1452,1015,1481,29,29
room,671_1.png,2209,1670,2291,1702,32,82
room,671_1.png,894,953,966,973,20,72
room,671_1.png,899,825,959,839,14,60
room,671_1.png,894,698,948,723,25,54
room,724_1.png,1117,1327,1150,1366,39,33
room,724_1.png,1204,1329,1245,1348,19,41
room,724_1.png,1145,1052,1187,1070,18,42
room,724_1.png,1195,1122,1216,1141,19,21
room,724_1.png,1303,1041,1354,1060,19,51
room,724_1.png,1410,1297,1442,1316,19,32
room,724_1.png,1128,844,1157,863,19,29
room,724_1.png,1434,1028,1474,1047,19,40
room,724_1.png,1275,784,1345,797,13,70
room,724_1.png,1573,816,1603,833,17,30
room,724_1.png,2055,889,2087,907,18,32
room,724_1.png,1392,1569,1424,1586,17,32
room,725_1.png,1546,1353,1574,1395,42,28
room,725_1.png,1551,1222,1576,1261,39,25
room,725_1.png,1096,1071,1139,1093,22,43
room,725_1.png,2326,1228,2350,1247,19,24
room,726_1.png,1558,1231,1583,1274,43,25
room,726_1.png,1551,1368,1579,1408,40,28
room,727_1.png,1280,1664,1316,1681,17,36
room,727_1.png,1352,1442,1376,1460,18,24
room,727_1.png,1235,1502,1259,1521,19,24
room,727_1.png,1252,1364,1288,1384,20,36
room,727_1.png,1217,1251,1247,1268,17,30
room,727_1.png,1333,1249,1362,1267,18,29
room,727_1.png,1552,1230,1576,1277,47,24
room,727_1.png,1555,1362,1583,1410,48,28
room,728_1.png,1546,1228,1570,1277,49,24
room,728_1.png,1549,1359,1578,1409,50,29
room,728_1.png,1291,1340,1322,1361,21,31
room,728_1.png,1764,867,1795,888,21,31
room,729_1.png,1197,1725,1247,1745,20,50
room,729_1.png,1299,1712,1350,1730,18,51
room,729_1.png,1168,1634,1220,1653,19,52
room,729_1.png,1423,1673,1448,1690,17,25
room,729_1.png,1539,1637,1609,1651,14,70
room,729_1.png,1555,1356,1582,1409,53,27
room,729_1.png,1549,1223,1576,1276,53,27
room,729_1.png,1291,1337,1325,1357,20,34
room,729_1.png,1765,865,1799,886,21,34
room,729_1.png,1300,1609,1405,1623,14,105
room,734_1.png,1214,586,1298,635,49,84
room,734_1.png,1569,586,1638,633,47,69
room,734_1.png,1869,633,1947,679,46,78
room,734_1.png,1934,498,1995,551,53,61
room,734_1.png,1857,485,1917,545,60,60
room,734_1.png,2259,604,2345,657,53,86
room,734_1.png,1060,1050,1142,1092,42,82
room,734_1.png,1235,1050,1298,1089,39,63
room,734_1.png,1150,1048,1216,1073,25,66
room,734_1.png,1345,1013,1388,1036,23,43
room,734_1.png,1421,993,1449,1035,42,28
room,734_1.png,1182,1283,1216,1310,27,34
room,734_1.png,1243,1284,1282,1303,19,39
room,734_1.png,1188,1182,1227,1200,18,39
room,734_1.png,1258,1177,1293,1203,26,35
room,734_1.png,1394,1068,1445,1114,46,51
room,734_1.png,1616,1058,1657,1091,33,41
room,734_1.png,1125,1670,1191,1719,49,66
room,734_1.png,1932,1028,2013,1073,45,81
room,734_1.png,1938,1168,2014,1196,28,76
room,734_1.png,1613,1666,1675,1696,30,62
room,734_1.png,2234,1410,2353,1469,59,119
room,734_1.png,2240,1951,2359,2017,66,119
room,734_1.png,1719,1957,1798,2015,58,79
room,734_1.png,1721,835,1873,867,32,152
room,734_1.png,2723,816,2910,940,124,187
room,734_1.png,2742,1395,2864,1471,76,122
room,735_1.png,2776,1350,2845,1379,29,69
room,735_1.png,2243,1126,2356,1173,47,113
room,735_1.png,2280,1738,2371,1771,33,91
room,735_1.png,1726,1113,1849,1163,50,123
room,735_1.png,1398,797,1441,825,28,43
room,735_1.png,1358,1022,1406,1043,21,48
room,735_1.png,1830,1695,1937,1737,42,107
room,735_1.png,1540,1631,1606,1658,27,66
room,735_1.png,1554,1772,1695,1817,45,141
room,735_1.png,2012,1727,2029,1806,79,17
room,739_1.png,1132,1230,1213,1255,25,81
room,739_1.png,1232,1281,1296,1303,22,64
room,739_1.png,1406,1067,1451,1094,27,45
room,739_1.png,1485,1272,1560,1297,25,75
room,739_1.png,1612,1175,1658,1210,35,46
room,739_1.png,1756,1346,1876,1366,20,120
room,739_1.png,1670,1351,1712,1369,18,42
room,739_1.png,1661,1308,1700,1324,16,39
room,739_1.png,1698,1269,1736,1287,18,38
room,739_1.png,1858,1302,1956,1316,14,98
room,739_1.png,1855,1268,1890,1288,20,35
room,739_1.png,1920,1192,1956,1209,17,36
room,739_1.png,1853,1187,1897,1208,21,44
room,739_1.png,1789,1190,1827,1210,20,38
room,739_1.png,1732,1173,1777,1209,36,45
room,739_1.png,1810,1090,1882,1109,19,72
room,739_1.png,1916,1067,1953,1093,26,37
room,739_1.png,1728,1023,1786,1043,20,58
room,739_1.png,1607,804,1669,820,16,62
room,739_1.png,1522,1071,1565,1089,18,43
room,740_1.png,1278,1246,1395,1268,22,117
room,740_1.png,1224,1362,1242,1406,44,18
room,740_1.png,1444,1302,1496,1320,18,52
room,740_1.png,1499,1321,1545,1336,15,46
room,740_1.png,1550,1244,1578,1264,20,28
room,740_1.png,1598,1249,1625,1272,23,27
room,740_1.png,1640,1247,1679,1271,24,39
room,740_1.png,1622,1342,1670,1361,19,48
room,740_1.png,1696,1259,1720,1280,21,24
room,740_1.png,1701,1214,1747,1228,14,46
room,740_1.png,1808,1239,1863,1256,17,55
room,740_1.png,1750,1242,1774,1258,16,24
room,740_1.png,1748,1276,1775,1293,17,27
room,740_1.png,1762,1304,1784,1319,15,22
room,740_1.png,1785,1305,1807,1319,14,22
room,740_1.png,1823,1304,1857,1319,15,34
room,740_1.png,1880,1303,1924,1321,18,44
room,740_1.png,1981,1251,2096,1279,28,115
room,740_1.png,1873,1387,1930,1406,19,57
room,740_1.png,2116,1363,2184,1380,17,68
room,740_1.png,2129,1239,2178,1256,17,49
room,740_1.png,2529,1367,2587,1388,21,58
room,740_1.png,2526,1243,2585,1261,18,59
room,740_1.png,2462,1076,2546,1097,21,84
room,740_1.png,2336,979,2401,999,20,65
room,740_1.png,2493,861,2541,887,26,48
room,740_1.png,1676,1135,1775,1157,22,99
room,740_1.png,1654,1022,1757,1039,17,103
room,740_1.png,2092,1086,2149,1110,24,57
room,740_1.png,2097,968,2151,989,21,54
room,740_1.png,2100,856,2146,874,18,46
room,740_1.png,2090,691,2117,704,13,27
room,740_1.png,2162,688,2186,706,18,24
room,740_1.png,2195,664,2230,699,35,35
room,740_1.png,2227,644,2283,663,19,56
room,740_1.png,2230,675,2279,701,26,49
room,740_1.png,2303,643,2368,661,18,65
room,740_1.png,2396,619,2442,637,18,46
room,740_1.png,2445,619,2491,641,22,46
room,740_1.png,2408,660,2467,680,20,59
room,740_1.png,2412,743,2468,766,23,56
room,742_1.png,1120,1982,1182,2005,23,62
room,742_1.png,953,1705,1079,1743,38,126
room,742_1.png,717,1711,770,1734,23,53
room,742_1.png,660,1688,700,1717,29,40
room,742_1.png,369,1406,500,1448,42,131
room,742_1.png,391,1121,472,1147,26,81
room,742_1.png,699,1269,817,1300,31,118
room,742_1.png,918,1334,995,1374,40,77
room,742_1.png,565,1090,601,1119,29,36
room,742_1.png,590,1154,625,1180,26,35
room,742_1.png,384,855,434,877,22,50
room,742_1.png,421,980,478,1002,22,57
room,742_1.png,473,883,548,915,32,75
room,742_1.png,436,730,483,752,22,47
room,742_1.png,653,955,711,985,30,58
room,742_1.png,659,857,727,882,25,68
room,742_1.png,796,873,832,901,28,36
room,742_1.png,750,1032,834,1060,28,84
room,742_1.png,914,1078,967,1101,23,53
room,742_1.png,653,619,719,642,23,66
room,742_1.png,767,624,899,672,48,132
room,742_1.png,965,594,1006,624,30,41
room,742_1.png,372,534,426,566,32,54
room,742_1.png,469,536,534,566,30,65
room,742_1.png,394,334,501,374,40,107
room,742_1.png,537,267,573,293,26,36
room,742_1.png,600,282,643,309,27,43
room,742_1.png,566,441,679,463,22,113
room,742_1.png,868,367,912,397,30,44
room,742_1.png,879,253,1012,279,26,133
room,742_1.png,1415,770,1472,807,37,57
room,742_1.png,1872,570,1938,592,22,66
room,742_1.png,2145,566,2196,593,27,51
room,742_1.png,2379,559,2428,602,43,49
room,742_1.png,2383,745,2457,780,35,74
room,742_1.png,2159,799,2220,834,35,61
room,742_1.png,1894,838,1947,857,19,53
room,742_1.png,2371,988,2441,1018,30,70
room,742_1.png,2370,1309,2442,1333,24,72
room,742_1.png,2105,1280,2163,1309,29,58
room,742_1.png,1872,1285,1961,1307,22,89
room,743_1.png,2060,1453,2125,1485,32,65
room,743_1.png,1947,1311,1990,1339,28,43
room,743_1.png,1670,1504,1705,1528,24,35
room,743_1.png,1659,1397,1724,1417,20,65
room,743_1.png,1639,1236,1688,1269,33,49
room,743_1.png,841,1532,920,1557,25,79
room,743_1.png,741,1347,801,1376,29,60
room,743_1.png,742,1251,807,1279,28,65
room,743_1.png,599,1270,670,1294,24,71
room,743_1.png,564,1005,635,1030,25,71
room,743_1.png,753,1028,831,1051,23,78
room,743_1.png,920,1126,991,1156,30,71
room,743_1.png,851,1094,890,1113,19,39
room,743_1.png,743,1092,777,1119,27,34
room,743_1.png,705,857,779,884,27,74
room,743_1.png,552,866,630,891,25,78
room,743_1.png,698,709,767,735,26,69
room,743_1.png,584,646,652,667,21,68
room,743_1.png,514,696,548,719,23,34
room,743_1.png,586,398,659,421,23,73
room,743_1.png,705,442,783,461,19,78
room,743_1.png,714,354,752,378,24,38
room,743_1.png,910,851,981,877,26,71
room,743_1.png,957,971,1018,992,21,61
room,743_1.png,863,1054,899,1077,23,36
room,743_1.png,896,1065,947,1081,16,51
room,743_1.png,964,1038,1015,1058,20,51
room,743_1.png,909,649,978,667,18,69
room,746_1.png,1608,1175,1675,1200,25,67
room,746_1.png,2390,757,2462,789,32,72
room,746_1.png,2272,1060,2379,1087,27,107
room,746_1.png,2053,729,2172,768,39,119
room,746_1.png,1850,680,1981,709,29,131
room,746_1.png,1841,815,1968,848,33,127
room,746_1.png,1680,755,1742,782,27,62
room,746_1.png,1346,768,1444,821,53,98
room,746_1.png,884,944,1004,985,41,120
room,748_1.png,822,1489,1049,1534,45,227
room,748_1.png,2190,1499,2412,1538,39,222
room,748_1.png,1926,719,2174,785,66,248
room,748_1.png,2370,1206,2420,1226,20,50
room,748_1.png,2351,1086,2413,1108,22,62
room,748_1.png,2359,911,2420,941,30,61
room,748_1.png,2357,763,2436,787,24,79
room,748_1.png,2377,700,2444,723,23,67
room,748_1.png,2390,660,2457,684,24,67
room,756_1.png,1452,1045,1560,1088,43,108
room,764_1.png,714,1697,789,1736,39,75
room,764_1.png,845,1633,897,1671,38,52
room,764_1.png,769,1320,867,1356,36,98
room,764_1.png,962,1626,1033,1672,46,71
room,764_1.png,1136,1632,1206,1678,46,70
room,764_1.png,1232,1590,1302,1634,44,70
room,764_1.png,1357,1597,1431,1636,39,74
room,764_1.png,1083,1368,1127,1395,27,44
room,764_1.png,1177,1388,1229,1417,29,52
room,764_1.png,1306,1255,1426,1298,43,120
room,764_1.png,732,501,828,527,26,96
room,764_1.png,937,509,1035,537,28,98
room,764_1.png,950,657,1001,680,23,51
room,764_1.png,1069,524,1134,570,46,65
room,764_1.png,1198,523,1272,572,49,74
room,764_1.png,1339,468,1406,521,53,67
room,764_1.png,2174,511,2251,556,45,77
room,764_1.png,2272,512,2353,557,45,81
room,764_1.png,2387,499,2443,531,32,56
room,764_1.png,2715,609,2772,643,34,57
room,764_1.png,2701,1271,2758,1300,29,57
room,764_1.png,2799,1372,2863,1409,37,64
room,764_1.png,2880,1435,2916,1464,29,36
room,764_1.png,2724,1513,2775,1534,21,51
room,764_1.png,2873,1547,2940,1589,42,67
room,764_1.png,2870,1618,2923,1643,25,53
room,764_1.png,2773,1715,2835,1742,27,62
room,764_1.png,2364,1541,2437,1571,30,73
room,764_1.png,1756,1546,1851,1576,30,95
room,780_1.png,1613,669,1725,704,35,112
room,780_1.png,1826,741,1942,785,44,116
room,780_1.png,1188,695,1325,734,39,137
room,780_1.png,2239,694,2366,727,33,127
room,780_1.png,2212,772,2303,801,29,91
room,780_1.png,2417,1300,2545,1322,22,128
room,780_1.png,1638,1344,1752,1362,18,114
room,780_1.png,2470,931,2558,970,39,88
room,780_1.png,979,1342,1068,1369,27,89
room,830_1.png,5093,1577,5366,2169,592,273
room,830_1.png,949,1057,1012,1075,18,63
room,830_1.png,1060,1057,1129,1078,21,69
room,830_1.png,1312,1117,1382,1139,22,70
room,830_1.png,1232,1092,1271,1113,21,39
room,830_1.png,1288,1183,1350,1203,20,62
room,830_1.png,973,1203,1185,1249,46,212
room,830_1.png,1454,1335,1495,1354,19,41
room,830_1.png,1546,1413,1593,1439,26,47
room,830_1.png,1072,1451,1148,1479,28,76
room,831_1.png,1475,826,1518,852,26,43
room,831_1.png,1513,889,1552,911,22,39
room,831_1.png,1438,896,1480,922,26,42
room,831_1.png,1712,854,1807,880,26,95
room,831_1.png,1621,836,1662,855,19,41
room,831_1.png,1866,831,1989,854,23,123
room,831_1.png,2043,949,2073,964,15,30
room,831_1.png,1365,1322,1496,1349,27,131
room,831_1.png,2040,1500,2103,1516,16,63
room,831_1.png,2143,1042,2174,1059,17,31
room,832_1.png,432,1572,456,1644,72,24
room,832_1.png,369,1469,441,1483,14,72
room,833_1.png,899,1101,945,1120,19,46
room,833_1.png,475,1386,521,1402,16,46
room,833_1.png,1732,1211,1759,1225,14,27
room,833_1.png,1549,1273,1583,1291,18,34
room,833_1.png,1730,1292,1771,1308,16,41
room,833_1.png,2528,736,2557,752,16,29
room,833_1.png,1704,1054,1755,1070,16,51
room,833_1.png,1667,834,1716,848,14,49
